APTerm global_APCSE	global	global, globalt, globala
APTerm good_APCSE	good	bra, bra, bra
APTerm graphic_APCSE	graphic	grafisk, grafiskt, grafiska
APTerm graphical_APCSE	graphical	grafisk, grafiskt, grafiska
APTerm hard_APCSE	hard	svår, svårt, svåra
APTerm hierarchical_APCSE	hierarchical	hierarkisk, hierarkiskt, hierarkiska
APTerm high_APCSE	high	hög, högt, höga
APTerm immutable_APCSE	immutable	oföränderlig, oföränderligt, oföränderliga
APTerm imperative_APCSE	imperative	imperativ, imperativt, imperativa
APTerm incremental_APCSE	incremental	inkrementell, inkrementellt, inkrementella
APTerm independent_APCSE	independent	oberoende, oberoende, oberoende
APTerm indirect_APCSE	indirect	indirekt, indirekt, indirekta
APTerm individual_APCSE	individual	individuell, individuellt, individuella
APTerm industrial_APCSE	industrial	industriell, industriellt, industriella
APTerm intellectual_APCSE	intellectual	intellektuell, intellektuellt, intellektuella
APTerm intelligent_APCSE	intelligent	intelligent, intelligent, intelligenta
APTerm interactive_APCSE	interactive	interaktiv, interaktivt, interaktiva
APTerm interdisciplinary_APCSE	interdisciplinary	tvärvetenskaplig, tvärvetenskapligt, tvärvetenskapliga
APTerm interested_APCSE	interested	interesserad, intresserade, interesserada
APTerm interior_APCSE	interior	inre, inre, inre
APTerm intermediate_APCSE	intermediate	mellan, mellant, mellana
APTerm internal_APCSE	internal	inre, inre, inre
APTerm international_APCSE	international	internationell, internationellt, internationella
APTerm invariant_APCSE	invariant	invariant, invariant, invarianta
APTerm irregular_APCSE	irregular	oregelbunden, oregelbundet, oregelbundna
APTerm iterative_APCSE	iterative	iterativ, iterativt, iterativa
APTerm large_APCSE	large	stor, stort, stora
APTerm lazy_APCSE	lazy	lat, lat, lata
APTerm lightweight_APCSE	lightweight	lätt, lätt, lätta
APTerm linear_APCSE	linear	linjär, linjärt, linjära
APTerm liquid_APCSE	liquid	flytande, flytande, flytande
APTerm local_APCSE	local	lokal, lokalt, lokala
APTerm logical_APCSE	logical	logisk, logiskt, logiska
APTerm lossless_APCSE	lossless	förlustlös, förlustlöst, förlustlösa
APTerm magnetic_APCSE	magnetic	magnetisk, magnetiskt, magnetiska
APTerm main_APCSE	main	huvudsaklig, huvudsakligt, huvudsakliga
APTerm manageable_APCSE	manageable	hanterlig, hanterligt, hanterliga
APTerm mandatory_APCSE	mandatory	obligatoriskt, obligatorisktt, obligatoriskta
APTerm mathematical_APCSE	mathematical	matematisk, matematiskt, matematiska
APTerm maximum_APCSE	maximum	maximal, maximalt, maximala
APTerm mechanical_APCSE	mechanical	mekanisk, mekaniskt, mekaniska
APTerm medical_APCSE	medical	medicinsk, medicinskt, medicinska
APTerm micro_APCSE	micro	mikro, mikro, mikro
APTerm modern_APCSE	modern	modern, modernt, moderna
APTerm modular_APCSE	modular	modulär, modulärt, modulära
APTerm molecular_APCSE	molecular	molekylär, molekylärt, molekylära
APTerm monochrome_APCSE	monochrome	enfärgad, enfärgat, enfärgade
APTerm monotonic_APCSE	monotonic	monoton, monotont, monotona
APTerm multilingual_APCSE	multilingual	flerspråkig, flerspråkigt, flerspråkiga
APTerm multiple_APCSE	multiple	multipel, multipelt, multipla
APTerm mutable_APCSE	mutable	muterbar, muterbart, muterbara
APTerm national_APCSE	national	nationell, nationellt, nationella
APTerm native_APCSE	native	inhemsk, inhemskt, inhemska
APTerm negative_APCSE	negative	negativ, negativt, negativa
APTerm nested_APCSE	nested	nästlad, nästlat, nästlade
APTerm neural_APCSE	neural	neural, neuralt, neurala
APTerm nondeterministic_APCSE	nondeterministic	icke-deterministisk, icke-deterministiskt, icke-deterministiska
APTerm normal_APCSE	normal	normal, normalt, normala
APTerm numerical_APCSE	numerical	numerisk, numeriskt, numeriska
APTerm old_APCSE	old	gammal, gammalt, gamla
APTerm open_APCSE	open	öppen, öppet, öppna
APTerm optical_APCSE	optical	optisk, optiskt, optiska
APTerm optimal_APCSE	optimal	optimal, optimalt, optimala
APTerm organic_APCSE	organic	organisk, organiskt, organiska
APTerm original_APCSE	original	ursprunglig, ursprungligt, ursprungliga
APTerm orthogonal_APCSE	orthogonal	ortogonal, ortogonalt, ortogonala
APTerm parallel_APCSE	parallel	parallell, parallellt, parallella
APTerm peripheral_APCSE	peripheral	yttre, yttre, yttre
APTerm persistent_APCSE	persistent	ständig, ständigt, ständiga
APTerm polymorph_APCSE	polymorph	polymorf, polymorft, polymorfa
APTerm portable_APCSE	portable	bärbar, bärbart, bärbara
APTerm practical_APCSE	practical	praktisk, praktiskt, praktiska
APTerm primary_APCSE	primary	primär, primärt, primära
APTerm primitive_APCSE	primitive	primitiv, primitivt, primitiva
APTerm professional_APCSE	professional	professionell, professionellt, professionella
APTerm programmable_APCSE	programmable	programerbar, programerbara, programerbara
APTerm pseudo_APCSE	pseudo	pseudo, pseudo, pseudoa
APTerm public_APCSE	public	publik, publikt, publika
